file_name,label
real/file1044_16k_norm_mono_silence,bonafide
fake/file1044_16k_norm_mono_silence,spoof
real/file267_16k_norm_mono_silence,bonafide
fake/file267_16k_norm_mono_silence,spoof
real/file623_16k_norm_mono_silence,bonafide
fake/file623_16k_norm_mono_silence,spoof
real/file1083_16k_norm_mono_silence,bonafide
fake/file1083_16k_norm_mono_silence,spoof
real/file1503_16k_norm_mono_silence,bonafide
fake/file1503_16k_norm_mono_silence,spoof
real/file1313_16k_norm_mono_silence,bonafide
fake/file1313_16k_norm_mono_silence,spoof
real/file857_16k_norm_mono_silence,bonafide
fake/file857_16k_norm_mono_silence,spoof
real/file913_16k_norm_mono_silence,bonafide
fake/file913_16k_norm_mono_silence,spoof
real/file2213_16k_norm_mono_silence,bonafide
fake/file2213_16k_norm_mono_silence,spoof
real/file1745_16k_norm_mono_silence,bonafide
fake/file1745_16k_norm_mono_silence,spoof
real/file1226_16k_norm_mono_silence,bonafide
fake/file1226_16k_norm_mono_silence,spoof
real/file830_16k_norm_mono_silence,bonafide
fake/file830_16k_norm_mono_silence,spoof
real/file844_16k_norm_mono_silence,bonafide
fake/file844_16k_norm_mono_silence,spoof
real/file2183_16k_norm_mono_silence,bonafide
fake/file2183_16k_norm_mono_silence,spoof
real/file590_16k_norm_mono_silence,bonafide
fake/file590_16k_norm_mono_silence,spoof
real/file1930_16k_norm_mono_silence,bonafide
fake/file1930_16k_norm_mono_silence,spoof
real/file1399_16k_norm_mono_silence,bonafide
fake/file1399_16k_norm_mono_silence,spoof
real/file520_16k_norm_mono_silence,bonafide
fake/file520_16k_norm_mono_silence,spoof
real/file763_16k_norm_mono_silence,bonafide
fake/file763_16k_norm_mono_silence,spoof
real/file1126_16k_norm_mono_silence,bonafide
fake/file1126_16k_norm_mono_silence,spoof
real/file1241_16k_norm_mono_silence,bonafide
fake/file1241_16k_norm_mono_silence,spoof
real/file206_16k_norm_mono_silence,bonafide
fake/file206_16k_norm_mono_silence,spoof
real/file27_16k_norm_mono_silence,bonafide
fake/file27_16k_norm_mono_silence,spoof
real/file218_16k_norm_mono_silence,bonafide
fake/file218_16k_norm_mono_silence,spoof
real/file2043_16k_norm_mono_silence,bonafide
fake/file2043_16k_norm_mono_silence,spoof
